time,temperature_2m,windspeed_10m,winddirection_10m,predicted_windspeed
2023-01-02T01:00,46.2,6.9,227,15.09891468
2023-01-02T02:00,44.2,2.8,230,15.27744361
2023-01-02T03:00,45.3,2.3,231,8.30626576
2023-01-02T04:00,46.4,5.8,270,12.73244431
2023-01-02T05:00,44.8,4.8,207,14.99071114
2023-01-02T06:00,44.1,5.4,200,14.53145118
2023-01-02T07:00,43.5,4.2,250,15.86698928
2023-01-02T08:00,42.9,6.7,196,15.61135412
2023-01-02T09:00,42.3,2.3,231,14.22016842
2023-01-02T10:00,41.7,2.3,219,15.04807343
2023-01-02T11:00,41.5,5.6,225,8.666311348
2023-01-02T12:00,42.6,6.9,242,13.91049643
2023-01-02T13:00,44.4,7.2,243,9.000975281
2023-01-02T14:00,45.3,4.4,235,11.41722171
2023-01-02T15:00,47.1,3.8,221,8.692108686
2023-01-02T16:00,50.1,4.9,216,14.81394887
2023-01-02T17:00,53.3,4.3,275,13.08965805
2023-01-02T18:00,55.5,5.4,274,11.62261317
2023-01-02T19:00,55.6,7.2,233,9.823970028
2023-01-02T20:00,55.8,9.1,189,12.95945028
2023-01-02T21:00,54.5,7.8,167,14.8927698
2023-01-02T22:00,52.1,4.8,193,15.58664795
2023-01-02T23:00,52,7.5,215,16.33121147
2023-01-03T00:00,53.4,8.4,187,15.5100873
2023-01-03T01:00,52.8,5.4,184,12.73015805
2023-01-03T02:00,52.3,10.7,237,15.5861803
2023-01-03T03:00,51.5,5.3,152,11.77586437
2023-01-03T04:00,51.9,2.2,189,15.3524974
2023-01-03T05:00,51.6,1,135,14.76235419
2023-01-03T06:00,50.9,0.8,297,12.42051204
2023-01-03T07:00,50.8,5.8,120,15.56428001
2023-01-03T08:00,48.3,2.5,82,14.45600768
2023-01-03T09:00,48.3,3.4,72,14.86162052
2023-01-03T10:00,47.5,5.2,74,15.35551111
2023-01-03T11:00,48.2,0.5,315,8.203310229
2023-01-03T12:00,48.9,5.2,65,13.47407206
2023-01-03T13:00,48.3,5.1,51,15.48670613
2023-01-03T14:00,49,2.6,124,16.00047056
2023-01-03T15:00,49.4,1.3,146,14.5535853
2023-01-03T16:00,49.9,4.1,315,15.04209797
2023-01-03T17:00,49.3,2.4,117,11.26350287
2023-01-03T18:00,50.7,8,198,13.94263296
2023-01-03T19:00,50.6,13,199,12.03038238
2023-01-03T20:00,51.6,5.2,196,14.96948633
2023-01-03T21:00,52.4,5.2,196,12.91211637
2023-01-03T22:00,52.7,5.8,180,13.94081434
2023-01-03T23:00,52,2.3,162,12.03339609
2023-01-04T00:00,51.7,0.5,315,12.42446104
2023-01-04T01:00,52.1,5.8,150,12.70428277
2023-01-04T02:00,52.5,6.6,171,14.55888527
2023-01-04T03:00,52.4,6.8,183,16.25345573
2023-01-04T04:00,51.3,2.3,198,15.84210125
2023-01-04T05:00,51.4,3.6,174,14.81062339
2023-01-04T06:00,51.7,8.6,182,14.1448808
2023-01-04T07:00,52.5,4.8,222,15.22429012
2023-01-04T08:00,51.8,7.6,188,8.637370398
2023-01-04T09:00,52.6,10.2,212,11.54561086
2023-01-04T10:00,52.5,11.2,222,8.897759947
2023-01-04T11:00,53,10.4,236,14.35214284
2023-01-04T12:00,52.9,5.4,200,16.04749271
2023-01-04T13:00,53.7,10.8,217,15.22413424
2023-01-04T14:00,55.3,9.9,226,16.09968493
2023-01-04T15:00,58.2,10.1,215,10.51509427
2023-01-04T16:00,60.1,8.1,193,12.88312346
